phy_same,phy_count,period,periodadmt,age,alife,provider_InscClaimAmtReimbursed_mean,provider_DeductibleAmtPaid_mean,provider_NoOfMonths_PartACov_mean,provider_NoOfMonths_PartBCov_mean,provider_IPAnnualReimbursementAmt_mean,provider_IPAnnualDeductibleAmt_mean,provider_OPAnnualReimbursementAmt_mean,provider_OPAnnualDeductibleAmt_mean,provider_InscClaimAmtReimbursed_std,provider_DeductibleAmtPaid_std,provider_NoOfMonths_PartACov_std,provider_NoOfMonths_PartBCov_std,provider_IPAnnualReimbursementAmt_std,provider_IPAnnualDeductibleAmt_std,provider_OPAnnualReimbursementAmt_std,provider_OPAnnualDeductibleAmt_std,banel_InscClaimAmtReimbursed_mean,banel_DeductibleAmtPaid_mean,banel_NoOfMonths_PartACov_mean,banel_NoOfMonths_PartBCov_mean,banel_IPAnnualReimbursementAmt_mean,banel_IPAnnualDeductibleAmt_mean,banel_OPAnnualReimbursementAmt_mean,banel_OPAnnualDeductibleAmt_mean,banel_InscClaimAmtReimbursed_std,banel_DeductibleAmtPaid_std,diag1_InscClaimAmtReimbursed_mean,diag1_DeductibleAmtPaid_mean,diag1_NoOfMonths_PartACov_mean,diag1_NoOfMonths_PartBCov_mean,diag1_IPAnnualReimbursementAmt_mean,diag1_IPAnnualDeductibleAmt_mean,diag1_OPAnnualReimbursementAmt_mean,diag1_OPAnnualDeductibleAmt_mean,diag1_InscClaimAmtReimbursed_std,diag1_DeductibleAmtPaid_std,diag1_NoOfMonths_PartACov_std,diag1_NoOfMonths_PartBCov_std,diag1_IPAnnualReimbursementAmt_std,diag1_IPAnnualDeductibleAmt_std,diag1_OPAnnualReimbursementAmt_std,diag1_OPAnnualDeductibleAmt_std,PotentialFraud
2.96,1.6,1.44,1,80.24,1,4185.6,213.6,12,12,17606,897.12,2615.2,463.92,10796.09114,436.0091742,0,0,38895.47746,1332.50567,2974.176525,635.7823212,3284.621746,184.4771962,12,12,17606,897.12,2615.2,463.92,4972.142171,216.0606318,2441.642986,168.8697495,11.94507249,11.9656874,7579.093008,717.6620268,1804.331094,543.0450837,3482.06631,161.353027,0.569944911,0.42419154,12941.55235,1205.297144,2450.076771,661.5066723,Not-Fraud
2.439393939,1.53030303,3.674242424,2.424242424,71.37121212,0.992424242,4588.409091,502.1666667,11.81818182,11.87121212,7568.181818,931.4242424,2678.181818,737.1212121,7309.794729,534.5824391,1.471449313,1.12843405,10040.97558,1059.574926,5190.714819,1517.084151,2195.609117,215.6182758,11.81818182,11.87121212,7568.181818,931.4242424,2678.181818,737.1212121,2366.603235,287.7081599,3060.278581,276.5745461,11.92612969,11.93220761,8005.353166,840.890305,2422.458599,676.3139846,4017.871066,260.2570693,0.726572025,0.653285091,12620.60441,1226.306633,3369.338617,848.2136751,Fraud
2.818791946,1.604026846,1.429530201,0,73.51677852,0.993288591,350.1342282,2.080536913,11.86577181,11.95973154,4351.879195,434.9530201,2194.899329,622.7516779,689.963754,11.16674405,1.106844298,0.491539152,9889.562978,945.2368668,3198.010914,873.1914584,779.8841947,49.99370197,11.86577181,11.95973154,4351.879195,434.9530201,2194.899329,622.7516779,1432.891305,106.5129111,855.5208541,52.27437385,11.93865163,11.94543649,5143.039381,555.9078701,2430.017927,694.2468808,1536.290845,113.0862574,0.667719339,0.577420174,11016.51694,1111.592405,2972.377916,808.1382081,Not-Fraud
2.731330472,1.599141631,1.088412017,0,71.78369099,0.996566524,241.1244635,3.175965665,11.90729614,11.93991416,3623.991416,379.1622318,2109.733906,636.3287554,491.5563919,17.0265844,1.051094987,0.795063156,9688.526566,751.5972353,3960.211085,845.6960406,692.6324904,49.6972781,11.90729614,11.93991416,3623.991416,379.1622318,2109.733906,636.3287554,1324.438078,112.8672857,598.5894085,39.38340246,11.93143972,11.94190921,4512.20228,495.2411771,2195.953526,630.8059854,1234.00509,91.14125236,0.657070912,0.565929733,10021.32957,957.7013914,2727.944083,737.4198778,Fraud
2.736111111,1.527777778,0.958333333,0.222222222,70.58333333,0.986111111,468.1944444,45.33333333,11.83333333,11.83333333,3050,445,1729.722222,469.7222222,1433.769116,214.8207245,1.414213562,1.414213562,5682.560175,796.6005944,1623.875535,518.8855127,797.3735127,77.37964881,11.83333333,11.83333333,3050,445,1729.722222,469.7222222,1351.06868,134.9643139,698.8972941,46.21732059,11.93481847,11.94395505,4807.311326,549.8597043,2089.969651,606.5503336,1519.425993,103.3021661,0.62654213,0.520121782,10565.76143,1126.358206,2486.827069,682.2792756,Not-Fraud
2.813953488,1.534883721,1.534883721,0.186046512,77.02325581,1,828.6046512,53.86046512,12,12,6592.093023,620.9302326,2570.465116,616.0465116,3224.765463,227.455237,0,0,15111.83399,995.1428085,3546.637545,741.0678895,826.8624623,67.42700782,12,12,6592.093023,620.9302326,2570.465116,616.0465116,1652.376653,152.9592509,688.1781865,74.38159693,11.94705489,11.94745305,5343.240516,599.6585399,2704.348474,751.0794494,1233.31139,136.4274583,0.541546164,0.524207717,10588.87851,1012.983245,2913.74673,797.7260835,Not-Fraud
2.655172414,1.568965517,0.551724138,0.086206897,75.79310345,0.982758621,286.7241379,23.5862069,12,12,4414.827586,674.2758621,1399.310345,366.7241379,701.0478071,140.9216573,0,0,7314.270656,1280.31139,1326.395805,275.7534363,645.0727347,74.69420063,12,12,4414.827586,674.2758621,1399.310345,366.7241379,1256.477362,167.6329695,795.8433472,66.06634941,11.95089714,11.93938068,5113.190216,647.0273966,1986.548696,592.4574785,1468.822014,113.0721198,0.520980842,0.541797624,10046.31577,1055.369364,2402.788996,687.029595,Not-Fraud
2.666666667,1.479166667,3.708333333,0,75.89583333,1,351.875,2.083333333,12,11.5,6935.416667,839.9166667,3793.958333,735.2083333,707.8936579,14.43375673,0,2.423291238,10616.797,1235.219471,8052.692094,1309.427339,930.9478783,74.31574628,12,11.5,6935.416667,839.9166667,3793.958333,735.2083333,1892.747374,173.2465817,541.9907533,39.84414945,11.93749043,11.94921282,4642.542819,530.11808,2645.20685,747.66186,962.1213272,91.40909896,0.609443021,0.543211575,10051.20777,990.7037682,3112.87545,850.0236312,Not-Fraud
2.586956522,1.565217391,1.456521739,0,75.84782609,1,323.4782609,5,12,12,3635.652174,593.3043478,3226.521739,914.7826087,471.6223413,19.74841766,0,0,7643.826747,1616.480249,5385.073699,1523.187796,689.0867201,60.6858803,12,12,3635.652174,593.3043478,3226.521739,914.7826087,1056.022603,115.4538655,664.5228587,38.20222674,11.93125103,11.94215171,4831.922794,592.1973767,2742.786347,760.0506532,1055.840515,76.58734325,0.623647272,0.448053915,10362.52596,1234.083797,2881.737111,753.9975205,Not-Fraud
2.533333333,1.966666667,0.466666667,0,72.53333333,0.966666667,349.3333333,4,12,12,2786.333333,427.2,1742.333333,649.3333333,822.984197,14.52702594,0,0,4484.440905,663.714438,1440.257839,645.7977335,705.4849206,64.02809524,12,12,2786.333333,427.2,1742.333333,649.3333333,1327.946403,141.7963953,642.0283391,60.73121197,11.93859606,11.93766666,4602.059481,517.3224929,2056.81624,618.3934237,1355.405692,136.2487719,0.59850229,0.526388894,9946.560554,965.6229506,2934.154943,774.3257312,Not-Fraud
